framenum , queue density , dynamic density
2076,0.107172,0.0266188
2081,0.0906719,0.0133875
2086,0.0860438,0.0134562
2091,0.0852312,0.0112937
2096,0.0854969,0.0112438
2101,0.0998,0.0312875
2106,0.127731,0.0634062
2111,0.159872,0.0923438
2116,0.197266,0.113162
2121,0.220069,0.113116
2126,0.232644,0.132775
2131,0.242991,0.163994
2136,0.236434,0.171209
2141,0.224972,0.1581
2146,0.205722,0.162291
2151,0.196813,0.160706
2156,0.19905,0.173809
2161,0.194481,0.166466
2166,0.192491,0.140331
2171,0.193069,0.122006
2176,0.184422,0.101237
2181,0.167788,0.0832625
2186,0.154144,0.0729969
2191,0.136372,0.0610156
2196,0.117084,0.0412937
2201,0.0996031,0.0263687
2206,0.0913562,0.0170281
2211,0.0827187,0.0108406
2216,0.0797188,0.00632813
2221,0.0798469,0.005625
2226,0.0800187,0.0066
2231,0.080575,0.00732188
2236,0.0804281,0.00719375
2241,0.0818438,0.00730937
2246,0.0819031,0.00871875
2251,0.0821,0.00979688
2256,0.0835219,0.0119188
2261,0.0839375,0.0132906
2266,0.08505,0.0142125
2271,0.0964719,0.0440719
2276,0.113444,0.0636719
2281,0.119834,0.0734937
2286,0.121237,0.0844375
2291,0.123175,0.0905156
2296,0.118741,0.0896187
2301,0.124813,0.0914438
2306,0.129062,0.0927937
2311,0.131119,0.0847312
2316,0.123606,0.0679844
2321,0.117284,0.0600906
2326,0.105737,0.0518375
2331,0.102063,0.0441531
2336,0.0919281,0.0331344
2341,0.0918344,0.0259781
2346,0.0909656,0.0203188
2351,0.08985,0.0196406
2356,0.0860563,0.0198063
2361,0.0828469,0.019125
2366,0.0882406,0.0257531
2371,0.0857094,0.024675
2376,0.0832094,0.017675
2381,0.0834656,0.0146438
2386,0.102016,0.0406188
2391,0.117825,0.0831156
2396,0.119337,0.109372
2401,0.118434,0.103984
2406,0.110225,0.084675
2411,0.112213,0.0709594
2416,0.115684,0.0501531
2421,0.105038,0.0326875
2426,0.0892656,0.0188656
2431,0.0809375,0.0122938
2436,0.0975812,0.0435969
2441,0.0965063,0.0508188
2446,0.0947781,0.0509969
2451,0.0952594,0.054275
2456,0.0921437,0.0557156
2461,0.111353,0.0589688
2466,0.108034,0.0452
2471,0.0952438,0.0297625
2476,0.0869812,0.0162719
2481,0.0868125,0.0183938
2486,0.0859188,0.0230656
2491,0.0886563,0.023075
2496,0.0887844,0.0236344
2501,0.0895125,0.0232875
2506,0.0925531,0.0235531
2511,0.105144,0.0383438
2516,0.118181,0.0706281
2521,0.113328,0.0759656
2526,0.116722,0.0911187
2531,0.118447,0.0927969
2536,0.113044,0.0943781
2541,0.107181,0.0869438
2546,0.112631,0.0793594
2551,0.119844,0.0684625
2556,0.115319,0.050875
2561,0.0986969,0.0337563
2566,0.0844406,0.0187063
2571,0.0781375,0.00435625
2576,0.0783531,0.002425
2581,0.0786781,0.0017875
2586,0.07855,0.00335
2591,0.0786344,0.00214375
2596,0.0784906,0.00200937
2601,0.0785813,0.00210625
2606,0.0791687,0.00166875
2611,0.0776063,0.00254062
2616,0.07785,0.0018875
2621,0.0777156,0.00213437
2626,0.0857156,0.0113656
2631,0.105706,0.0408063
2636,0.104081,0.0503219
2641,0.123438,0.0887437
2646,0.153203,0.146631
2651,0.156128,0.208053
2656,0.160591,0.264594
2661,0.175675,0.250075
2666,0.172028,0.217181
2671,0.161513,0.198906
2676,0.151881,0.182766
2681,0.150181,0.152775
2686,0.145731,0.131156
2691,0.146287,0.112625
2696,0.138191,0.0942906
2701,0.119981,0.0805594
2706,0.108819,0.0565031
2711,0.104575,0.0483375
2716,0.107572,0.0479125
2721,0.108034,0.0440969
2726,0.106147,0.0434969
2731,0.113019,0.0576406
2736,0.116138,0.0743469
2741,0.117122,0.079425
2746,0.1139,0.0799875
2751,0.115166,0.0865531
2756,0.115941,0.0852094
2761,0.116181,0.0919563
2766,0.117763,0.087075
2771,0.1198,0.0832594
2776,0.1214,0.0794594
2781,0.122444,0.0773281
2786,0.119516,0.0801625
2791,0.119188,0.0724719
2796,0.119091,0.0676344
2801,0.120681,0.0614125
2806,0.120306,0.0554969
2811,0.118612,0.0506875
2816,0.121653,0.0328562
2821,0.122519,0.0239656
2826,0.123112,0.01625
2831,0.123522,0.0201844
2836,0.1233,0.0323281
2841,0.123194,0.0169844
2846,0.122609,0.0124781
2851,0.128831,0.02105
2856,0.137931,0.0372406
2861,0.131019,0.0376812
2866,0.125144,0.0193031
2871,0.126428,0.0226562
2876,0.125837,0.0214562
2881,0.127612,0.0194313
2886,0.128884,0.0386
2891,0.129963,0.0338156
2896,0.129494,0.0269687
2901,0.131031,0.0267469
2906,0.130837,0.0253656
2911,0.130272,0.0334313
2916,0.130934,0.0282375
2921,0.130406,0.0256688
2926,0.131284,0.0263812
2931,0.131103,0.0290281
2936,0.128622,0.0358969
2941,0.133516,0.03615
2946,0.153206,0.0531875
2951,0.179866,0.0756375
2956,0.207613,0.0950656
2961,0.236428,0.133484
2966,0.253675,0.146719
2971,0.270637,0.207584
2976,0.285619,0.243206
2981,0.295269,0.118922
2986,0.314403,0.223522
2991,0.322631,0.204912
2996,0.328544,0.129191
3001,0.340881,0.163397
3006,0.352625,0.176197
3011,0.370188,0.232134
3016,0.392803,0.234737
3021,0.416897,0.1953
3026,0.431506,0.182916
3031,0.434903,0.179838
3036,0.430356,0.198881
3041,0.409641,0.175291
3046,0.413656,0.153497
3051,0.412956,0.127081
3056,0.410284,0.108353
3061,0.413628,0.143266
3066,0.414425,0.116225
3071,0.420109,0.113044
3076,0.431303,0.12455
3081,0.43395,0.108084
3086,0.434019,0.125703
3091,0.452309,0.102334
3096,0.467187,0.0867219
3101,0.468525,0.0777
3106,0.461587,0.0716906
3111,0.452509,0.096325
3116,0.449359,0.0613969
3121,0.444544,0.0537906
3126,0.4401,0.0444531
3131,0.4404,0.0414844
3136,0.442844,0.0544094
3141,0.448091,0.0263594
3146,0.453681,0.0207094
3151,0.459403,0.0191594
3156,0.461763,0.0191531
3161,0.460772,0.0364531
3166,0.459872,0.0238781
3171,0.458937,0.0194187
3176,0.458456,0.019275
3181,0.461041,0.0201594
3186,0.463553,0.0366375
3191,0.470075,0.0305969
3196,0.476059,0.030025
3201,0.477675,0.0248906
3206,0.479325,0.0200187
3211,0.476041,0.0299125
3216,0.477225,0.0186406
3221,0.476759,0.0129406
3226,0.477006,0.01
3231,0.476428,0.00980938
3236,0.475169,0.0223938
3241,0.476934,0.0100313
3246,0.476122,0.00709375
3251,0.476231,0.00734375
3256,0.476216,0.00537813
3261,0.477956,0.01375
3266,0.479678,0.00705313
3271,0.483525,0.0078625
3276,0.48625,0.0110969
3281,0.487997,0.0123344
3286,0.485938,0.0192187
3291,0.485972,0.0140875
3296,0.48625,0.0116469
3301,0.485187,0.0117594
3306,0.485406,0.0126469
3311,0.484222,0.0177
3316,0.482769,0.0121312
3321,0.480137,0.011075
3326,0.478969,0.0123156
3331,0.480762,0.0122406
3336,0.475162,0.0170562
3341,0.476141,0.0129563
3346,0.475391,0.0127437
3351,0.474881,0.0121969
3356,0.473981,0.0127719
3361,0.475744,0.0187906
3366,0.475447,0.0154062
3371,0.475553,0.0117031
3376,0.476313,0.0112344
3381,0.475888,0.00744063
3386,0.474187,0.00845313
3391,0.475775,0.00874063
3396,0.477894,0.0134719
3401,0.479319,0.0149062
3406,0.482731,0.0157094
3411,0.481622,0.0173094
3416,0.480837,0.0117562
3421,0.481134,0.0079375
3426,0.480478,0.006575
3431,0.480812,0.00445625
3436,0.488591,0.0114406
3441,0.489553,0.00688437
3446,0.491031,0.00774063
3451,0.491406,0.0106687
3456,0.492387,0.00899063
3461,0.494909,0.0118937
3466,0.49405,0.00850937
3471,0.491375,0.00448125
3476,0.488666,0.00285313
3481,0.488731,0.00261562
3486,0.485272,0.006225
3491,0.485575,0.00390937
3496,0.485762,0.00370625
3501,0.486716,0.00470312
3506,0.48635,0.00499063
3511,0.487588,0.00545
3516,0.488206,0.00322187
3521,0.487722,0.00175625
3526,0.487191,0.00161563
3531,0.486887,0.00162813
3536,0.484391,0.00404062
3541,0.485041,0.0028125
3546,0.486353,0.003925
3551,0.487844,0.00516875
3556,0.489247,0.00481875
3561,0.489603,0.00615312
3566,0.488812,0.00502188
3571,0.486553,0.00605313
3576,0.487719,0.0043375
3581,0.488828,0.00379375
3586,0.490169,0.00351875
3591,0.490184,0.00366563
3596,0.487822,0.00615
